source_row,time,x,y,energy_ev,pi,ccd_id,status
11668,255837515.34675986,2202.232421875,4294.2607421875,4775.3779296875,328,6,0
11673,255837515.38779986,2755.17431640625,5223.69189453125,2989.4775390625,205,7,0
11675,255837515.38779986,2863.5029296875,4628.31396484375,2201.42724609375,151,7,0
11680,255837515.55195984,4312.3212890625,3619.73876953125,5989.6630859375,411,0,0
11682,255837518.58776003,2007.4779052734375,3541.9609375,647.475341796875,45,6,0
11687,255837518.62881994,2350.6279296875,4534.71337890625,6806.16650390625,467,7,0
11703,255837521.82877022,1599.4459228515625,3864.510986328125,5356.87890625,367,6,0
11704,255837521.82877022,2143.316162109375,4097.990234375,3552.542724609375,244,6,0
11710,255837521.86982012,2132.583984375,4684.68017578125,6740.623046875,462,7,0
11713,255837521.86982012,2635.3076171875,4456.1728515625,1795.6517333984375,123,7,0
11716,255837521.95189023,3521.2705078125,3588.71533203125,2126.47021484375,146,2,0
11717,255837525.0697903,2403.5771484375,4296.5302734375,6318.26513671875,433,6,0
11718,255837525.0697903,2302.47119140625,3812.178955078125,6710.82470703125,460,6,0
11727,255837525.1108303,2379.071533203125,4819.0107421875,1800.1455078125,124,7,0
11733,255837525.1518703,3558.809814453125,4856.65087890625,1513.6861572265625,104,3,0
11739,255837528.3107905,2065.0263671875,3692.296875,655.980224609375,45,6,0
11741,255837528.3107905,2463.503662109375,3498.65625,900.3062744140625,62,6,0
11742,255837528.35185042,2051.0546875,5362.40576171875,683.5807495117188,47,7,0
11749,255837528.35185042,2590.67822265625,5084.7900390625,6833.81884765625,469,7,0
11762,255837531.5518206,1867.2850341796875,3588.00732421875,716.91748046875,50,6,0
11763,255837531.5928606,1939.47998046875,4561.7919921875,1660.913330078125,114,7,0
11767,255837531.5928606,2558.906982421875,5157.52978515625,3075.335693359375,211,7,0
11780,255837534.83386078,2632.150390625,5121.8232421875,3054.628662109375,210,7,0
11782,255837534.8749008,3676.569091796875,5007.1669921875,2221.27880859375,153,3,0
11784,255837534.9159408,3243.302001953125,3671.6279296875,1548.887451171875,107,2,0
11789,255837534.9570007,4514.38037109375,4044.659912109375,1704.4053955078125,117,1,0
11790,255837534.99802077,4442.03173828125,3524.414306640625,2546.44140625,175,0,0
11791,255837538.0338409,2155.549560546875,3519.75634765625,3282.92578125,225,6,0
11804,255837538.1159209,3628.025146484375,4980.90625,2895.939453125,199,3,0
11808,255837538.197991,4730.88671875,4281.599609375,4510.74365234375,309,1,0
11809,255837538.197991,5081.90576171875,3785.943115234375,2599.6650390625,179,1,0
11811,255837541.27485108,2408.645751953125,3603.382080078125,5529.4755859375,379,6,0
11817,255837541.3158911,2518.56396484375,5344.57080078125,6014.68310546875,412,7,0
11822,255837541.3158911,2791.029296875,4371.927734375,4080.74951171875,280,7,0
11823,255837541.3979711,3112.54931640625,3340.31884765625,3819.822021484375,262,2,0
11831,255837544.63897127,3174.008056640625,4295.13037109375,6577.86474609375,451,2,0
11838,255837547.7979214,2123.938720703125,5101.49169921875,1523.59228515625,105,7,0
11841,255837547.7979214,2348.39501953125,4649.73974609375,1776.093017578125,122,7,0
11845,255837547.7979214,2728.718505859375,5252.4013671875,2925.450439453125,201,7,0
11848,255837547.7979214,2923.22998046875,4809.7802734375,2362.249755859375,162,7,0
11849,255837547.8389614,4158.70263671875,4655.98046875,6451.85693359375,442,3,0
11851,255837547.9210414,4828.171875,4447.17919921875,6251.591796875,429,1,0
11853,255837547.96208137,3985.4873046875,3099.826416015625,1513.479248046875,104,0,0
11854,255837547.96208137,4252.0400390625,3068.322509765625,3883.2763671875,266,0,0
11856,255837550.99788153,2570.71728515625,4145.9306640625,5376.857421875,369,6,0
11864,255837551.07998148,3534.82666015625,4301.86767578125,5989.7734375,411,3,0
11867,255837551.12100154,3386.06298828125,3669.34619140625,5360.1025390625,368,2,0
11868,255837551.12100154,3238.007568359375,3738.201416015625,1256.1190185546875,87,2,0
11870,255837551.20308152,4523.23046875,3171.6484375,2344.56884765625,161,0,0
11874,255837551.20308152,4829.32861328125,3462.497802734375,1192.067626953125,82,0,0
11875,255837554.23889175,1965.900634765625,4130.55322265625,2179.15478515625,150,6,0
11876,255837554.23889175,2001.229248046875,4002.049072265625,2529.16259765625,174,6,0
11878,255837554.23889175,2451.021484375,3646.4287109375,6053.2939453125,415,6,0
11882,255837554.27994165,2754.80517578125,5344.73876953125,6498.046875,446,7,0
11886,255837554.36202165,3541.452880859375,3293.72314453125,3534.87744140625,243,2,0
11887,255837554.36202165,3848.8291015625,3477.83203125,3503.9013671875,240,2,0
11889,255837554.36202165,4071.531982421875,3971.068115234375,1426.5877685546875,98,2,0
11892,255837554.44410163,4387.87744140625,3790.503662109375,3619.39453125,248,0,0
11895,255837557.52095187,2019.7174072265625,5104.3330078125,1343.5234375,93,7,0
11910,255837557.56199187,4007.958984375,4113.94677734375,6933.1904296875,475,3,0
11911,255837557.68513173,4154.55908203125,3740.1826171875,1425.828125,98,0,0
11912,255837560.720912,1634.761962890625,3706.449462890625,627.0526733398438,43,6,0
11923,255837560.76197195,2690.08642578125,5131.80517578125,4349.2587890625,298,7,0
11927,255837560.76197195,2821.5166015625,4984.171875,1292.0732421875,89,7,0
11939,255837564.00298214,2509.33154296875,4663.580078125,2700.10595703125,185,7,0
11944,255837564.08506215,3307.500732421875,3854.61279296875,4860.2099609375,333,2,0
11945,255837564.12610215,5022.4501953125,4805.0390625,1730.4820556640625,119,1,0
11947,255837564.16714212,4689.70751953125,2963.911865234375,2185.486572265625,150,0,0
11951,255837567.24400222,1946.952392578125,4901.21435546875,6943.8271484375,476,7,0
11952,255837567.24400222,1961.4609375,4659.35791015625,2304.499755859375,158,7,0
11958,255837567.28504223,4244.08203125,4821.603515625,2240.52099609375,154,3,0
11962,255837567.36710235,4544.24853515625,4059.72705078125,1172.65380859375,81,1,0
11964,255837570.44396242,2188.074951171875,4123.94482421875,6026.81787109375,413,6,0
11966,255837570.44396242,2376.025634765625,3433.49169921875,579.70068359375,40,6,0
11968,255837570.48500243,2180.42822265625,5463.77392578125,2832.001220703125,194,7,0
11971,255837570.48500243,2494.494384765625,5379.9423828125,1649.667724609375,113,7,0
11987,255837573.7260325,2013.91748046875,5157.75,2410.820556640625,166,7,0
11992,255837573.7260325,2286.748046875,5017.85107421875,1782.271240234375,123,7,0
12001,255837573.7260325,2737.292724609375,4633.72998046875,4069.14453125,279,7,0
12003,255837573.7670725,3392.572998046875,4701.7490234375,5938.421875,407,3,0
12006,255837573.80809262,3222.478759765625,4035.732177734375,1345.29736328125,93,2,0
12008,255837573.8901726,4990.271484375,3520.69482421875,6344.20849609375,435,0,0
12014,255837576.9670327,1845.2359619140625,4586.380859375,827.3055419921875,57,7,0
12032,255837577.0901328,5107.61767578125,4826.54296875,4670.13134765625,320,1,0
12035,255837577.13119268,4463.33544921875,3389.089111328125,2899.470947265625,199,0,0
12039,255837580.16700292,2208.7236328125,3412.470947265625,2441.19287109375,168,6,0
12053,255837580.24908292,3585.750244140625,5008.12890625,2156.998779296875,148,3,0
12054,255837580.24908292,3430.491943359375,4883.10302734375,1600.0037841796875,110,3,0
12057,255837580.24908292,3496.63525390625,4669.81005859375,3455.16552734375,237,3,0
12062,255837580.3722029,4672.76806640625,3638.830810546875,5596.40234375,384,0,0
12063,255837583.4080031,2363.02783203125,3360.083984375,1019.5372924804688,70,6,0
12064,255837583.44906297,2164.875732421875,5153.38427734375,2621.95947265625,180,7,0
12076,255837583.4900831,3431.108154296875,4949.3203125,6898.40283203125,473,3,0
12077,255837583.4900831,3992.35888671875,4724.94873046875,2655.2412109375,182,3,0
12078,255837583.4900831,3959.4931640625,4509.92529296875,5154.48779296875,354,3,0
12082,255837583.5721631,4958.51806640625,4585.4833984375,5515.80859375,378,1,0
12084,255837583.61322296,4654.8056640625,2831.6396484375,5441.1171875,373,0,0
12094,255837586.69006318,2085.509033203125,4757.5556640625,3315.76123046875,228,7,0
12119,255837586.7721432,3149.96044921875,4305.09130859375,3125.203857421875,215,2,0
12120,255837586.8131733,5221.93603515625,4712.580078125,2148.760009765625,148,1,0
12122,255837586.85422316,4727.81982421875,3319.1796875,6228.78564453125,427,0,0
12123,255837586.85422316,4140.87841796875,3887.828125,1032.3160400390625,71,0,0
12125,255837589.89003336,2411.329345703125,4020.432373046875,676.585693359375,47,6,0
12133,255837589.93107337,2639.33642578125,5373.8310546875,688.0745239257812,48,7,0
12134,255837589.93107337,2560.356689453125,5089.31689453125,3277.075927734375,225,7,0
12141,255837589.97211337,3935.152099609375,4709.35791015625,2698.945556640625,185,3,0
12142,255837589.97211337,3328.479736328125,4593.36181640625,1217.5660400390625,84,3,0
12146,255837590.09525326,4254.7607421875,3344.31787109375,2049.2314453125,141,0,0
12147,255837593.13105345,2366.81591796875,3981.47314453125,5229.33837890625,359,6,0
12160,255837593.29521346,4774.38525390625,4179.640625,1452.924560546875,100,1,0
12175,255837596.41311356,2423.722412109375,4613.3857421875,915.8314819335938,63,7,0
12179,255837596.45414367,3547.843994140625,4477.1220703125,2272.867431640625,156,3,0
12181,255837596.53622368,4485.93603515625,4916.26708984375,2904.494384765625,199,1,0
