time,flux,error,mask,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9
60271.94846390,1.002055305,8.826191e-4,0,0,0,0,0,0,0,0,0,0
60271.94892455,1.002077564,8.826108e-4,0,0,0,0,0,0,0,0,0,0
60271.94938520,1.001328278,8.829617e-4,0,0,0,0,0,0,0,0,0,0
60271.94984584,1.000464054,8.826637e-4,0,0,0,0,0,0,0,0,0,0
60271.95030649,1.000214061,8.828239e-4,0,0,0,0,0,0,0,0,0,0
60271.95076714,0.999801067,8.827939e-4,0,0,0,0,0,0,0,0,0,0
60271.95122779,1.000890896,8.827020e-4,0,0,0,0,0,0,0,0,0,0
60271.95168843,0.998724643,8.827637e-4,0,0,0,0,0,0,0,0,0,0
60271.95214908,1.001364340,8.826229e-4,0,0,0,0,0,0,0,0,0,0
60271.95260973,1.001890541,8.827559e-4,0,0,0,0,0,0,0,0,0,0
60271.95307037,1.000870707,8.830133e-4,0,0,0,0,0,0,0,0,0,0
60271.95353102,1.001967138,8.826993e-4,0,0,0,0,0,0,0,0,0,0
60271.95399167,1.000146061,8.826559e-4,0,0,0,0,0,0,0,0,0,0
60271.95445231,1.001560901,8.826571e-4,0,0,0,0,0,0,0,0,0,0
60271.95491296,1.000724484,8.826161e-4,0,0,0,0,0,0,0,0,0,0
60271.95537361,0.998497903,8.829198e-4,0,0,0,0,0,0,0,0,0,0
60271.95583426,1.000885502,8.829114e-4,0,0,0,0,0,0,0,0,0,0
60271.95629490,1.000919095,8.830888e-4,0,0,0,0,0,0,0,0,0,0
60271.95675555,1.001398625,8.829324e-4,0,0,0,0,0,0,0,0,0,0
60271.95721620,1.002686101,8.826545e-4,0,0,0,0,0,0,0,0,0,0
60271.95767684,1.000841745,8.830333e-4,0,0,0,0,0,0,0,0,0,0
60271.95813749,0.999655759,8.829094e-4,0,0,0,0,0,0,0,0,0,0
60271.95859814,1.000935844,8.828847e-4,0,0,0,0,0,0,0,0,0,0
60271.95905878,1.002634109,8.827894e-4,0,0,0,0,0,0,0,0,0,0
60271.95951943,1.000145222,8.826192e-4,0,0,0,0,0,0,0,0,0,0
60271.95998008,0.999985308,8.828981e-4,0,0,0,0,0,0,0,0,0,0
60271.96044073,1.000112487,8.829281e-4,0,0,0,0,0,0,0,0,0,0
60271.96090137,1.000974651,8.827426e-4,0,0,0,0,0,0,0,0,0,0
60271.96136202,1.000979777,8.828025e-4,0,0,0,0,0,0,0,0,0,0
60271.96182267,1.001112317,8.827950e-4,0,0,0,0,0,0,0,0,0,0
60271.96228331,1.000467370,8.829898e-4,0,0,0,0,0,0,0,0,0,0
60271.96274396,1.000906848,8.830003e-4,0,0,0,0,0,0,0,0,0,0
60271.96320461,1.000114317,8.828324e-4,0,0,0,0,0,0,0,0,0,0
60271.96366526,1.000216745,8.839996e-4,0,0,0,0,0,0,0,0,0,0
60271.96412590,1.000728805,8.827610e-4,0,0,0,0,0,0,0,0,0,0
60271.96458655,1.001916712,8.829617e-4,0,0,0,0,0,0,0,0,0,0
60271.96504720,0.999640345,8.826101e-4,0,0,0,0,0,0,0,0,0,0
60271.96550784,1.000392606,8.831107e-4,0,0,0,0,0,0,0,0,0,0
60271.96596849,1.001203153,8.828401e-4,0,0,0,0,0,0,0,0,0,0
60271.96642914,1.001579186,8.831302e-4,0,0,0,0,0,0,0,0,0,0
60271.96688978,1.000934755,8.829004e-4,0,0,0,0,0,0,0,0,0,0
60271.96735043,1.000740736,8.830143e-4,0,0,0,0,0,0,0,0,0,0
60271.96781108,1.001636071,8.828961e-4,0,0,0,0,0,0,0,0,0,0
60271.96827173,1.001026335,8.828297e-4,0,0,0,0,0,0,0,0,0,0
60271.96873237,1.001066324,8.828978e-4,0,0,0,0,0,0,0,0,0,0
60271.96919302,1.000570013,8.828878e-4,0,0,0,0,0,0,0,0,0,0
60271.96965367,1.000785639,8.827940e-4,0,0,0,0,0,0,0,0,0,0
60271.97011431,1.000230962,8.825694e-4,0,0,0,0,0,0,0,0,0,0
60271.97057496,0.999998052,8.825031e-4,0,0,0,0,0,0,0,0,0,0
60271.97103561,1.001460208,8.828514e-4,0,0,0,0,0,0,0,0,0,0
60271.97149626,1.001280969,8.828215e-4,0,0,0,0,0,0,0,0,0,0
60271.97195690,1.000861371,8.826619e-4,0,0,0,0,0,0,0,0,0,0
60271.97241755,1.000913609,8.827064e-4,0,0,0,0,0,0,0,0,0,0
60271.97287820,1.000120137,8.829369e-4,0,0,0,0,0,0,0,0,0,0
60271.97333884,0.999661568,8.830809e-4,0,0,0,0,0,0,0,0,0,0
60271.97379949,1.001577628,8.827225e-4,0,0,0,0,0,0,0,0,0,0
60271.97426014,1.003699746,8.828155e-4,0,0,0,0,0,0,0,0,0,0
60271.97472078,1.001396766,8.829764e-4,0,0,0,0,0,0,0,0,0,0
60271.97518143,1.001067975,8.824480e-4,0,0,0,0,0,0,0,0,0,0
60271.97564208,1.001082167,8.829728e-4,0,0,0,0,0,0,0,0,0,0
60271.97610273,0.999407573,8.831857e-4,0,0,0,0,0,0,0,0,0,0
60271.97656337,0.999885513,8.827824e-4,0,0,0,0,0,0,0,0,0,0
60271.97702402,1.001609288,8.828864e-4,0,0,0,0,0,0,0,0,0,0
60271.97748467,1.001569897,8.823765e-4,0,0,0,0,0,0,0,0,0,0
60271.97794531,1.000269567,8.828054e-4,0,0,0,0,0,0,0,0,0,0
60271.97840596,1.001346523,8.828870e-4,0,0,0,0,0,0,0,0,0,0
60271.97886661,1.000010744,8.828864e-4,0,0,0,0,0,0,0,0,0,0
60271.97932725,1.001325043,8.826770e-4,0,0,0,0,0,0,0,0,0,0
60271.97978790,1.001215371,8.823195e-4,0,0,0,0,0,0,0,0,0,0
60271.98024855,1.001791481,8.826996e-4,0,0,0,0,0,0,0,0,0,0
60271.98070920,1.001082800,8.827325e-4,0,0,0,0,0,0,0,0,0,0
60271.98116984,1.001228362,8.828604e-4,0,0,0,0,0,0,0,0,0,0
60271.98163049,0.999855313,8.825517e-4,0,0,0,0,0,0,0,0,0,0
